2026-03-31 08:48:58.399 | INFO  | CID:N/A | Iniciando procesador de cola de correos
2026-03-31 08:49:25.046 | INFO  | CID:08ecb225b786 | Account/Login | Iniciando acción: Account/Login
2026-03-31 08:49:25.736 | INFO  | CID:08ecb225b786 | Account/Login | Acción completada: Account/Login
2026-03-31 08:50:42.081 | INFO  | CID:b00ed76fd74f | USR:USU_ADMIN | SolicitudAOCR/Legalizar | Iniciando acción: SolicitudAOCR/Legalizar
2026-03-31 08:50:42.092 | INFO  | CID:b00ed76fd74f | USR:USU_ADMIN | SolicitudAOCR/Legalizar | Acción completada: SolicitudAOCR/Legalizar
2026-03-31 08:51:10.078 | INFO  | CID:b3a06c6d832e | USR:USU_ADMIN | SolicitudAOCR/Legalizar | Iniciando acción: SolicitudAOCR/Legalizar
2026-03-31 08:51:10.089 | INFO  | CID:b3a06c6d832e | USR:USU_ADMIN | SolicitudAOCR/Legalizar | Acción completada: SolicitudAOCR/Legalizar
2026-03-31 08:52:14.241 | INFO  | CID:37146fff5437 | USR:USU_ADMIN | SolicitudAOCR/Legalizar | Iniciando acción: SolicitudAOCR/Legalizar
2026-03-31 08:52:14.246 | INFO  | CID:37146fff5437 | USR:USU_ADMIN | SolicitudAOCR/Legalizar | Acción completada: SolicitudAOCR/Legalizar
2026-03-31 08:53:32.001 | INFO  | CID:N/A | USR:USU_ADMIN | Inspeccion/PendientesFirmaDirdac | AuditTrailService: Tabla aocr_audit_trail verificada/creada.
2026-03-31 08:54:48.219 | INFO  | CID:7975109c8db7 | USR:USU_ADMIN | Inspeccion/Detalle | [GestionInspeccion] Inicio Detalle. InspeccionId=15, Usuario=USU_ADMIN, Rol=Administrador,Inspector,JefaturaTecnica,Direccion,CoordinacionLegal
2026-03-31 08:54:48.228 | INFO  | CID:7975109c8db7 | USR:USU_ADMIN | Inspeccion/Detalle | [GestionInspeccion] InspeccionId=15, SolicitudId=111, EstadoActual=VERIFICACION_SOLICITUD, InspectorAsignado=17
2026-03-31 08:54:48.230 | INFO  | CID:7975109c8db7 | USR:USU_ADMIN | Inspeccion/Detalle | [GestionInspeccion] PuedeGestionar=True para detalle. InspeccionId=15
2026-03-31 08:54:49.508 | INFO  | CID:7975109c8db7 | USR:USU_ADMIN | Inspeccion/Detalle | [InspectoresDAO-DB2] Query obtener por cedula: SELECT TRIM(OPICED) AS OPICED, TRIM(OPINO2) AS OPINO2, TRIM(OPIES1) AS OPIES1, TRIM(OPITIP) AS OPITIP FROM DGACDAT.OPIAR2 WHERE OPICED = ? AND UPPER(TRIM(COALESCE(OPIES1, ''))) = ? FETCH FIRST 1 ROW ONLY
2026-03-31 08:54:49.508 | INFO  | CID:7975109c8db7 | USR:USU_ADMIN | Inspeccion/Detalle | [InspectoresDAO-DB2] Parametros => cedula=17, soloActivos=True, tipos=TODOS
2026-03-31 08:54:49.574 | WARN  | CID:7975109c8db7 | USR:USU_ADMIN | Inspeccion/Detalle | [InspectoresDAO-DB2] Inspector no encontrado para cedula=17, soloActivos=True
