2026-03-30 08:22:26.640 | INFO  | CID:N/A | Iniciando procesador de cola de correos
2026-03-30 08:22:48.919 | INFO  | CID:d83a8ef601d6 | Account/Login | Iniciando acción: Account/Login
2026-03-30 08:22:49.699 | INFO  | CID:d83a8ef601d6 | Account/Login | Acción completada: Account/Login
2026-03-30 08:22:58.640 | INFO  | CID:N/A | USR:USU_ADMIN | Inspeccion/Index | AuditTrailService: Tabla aocr_audit_trail verificada/creada.
2026-03-30 08:22:58.657 | INFO  | CID:613021597f22 | USR:USU_ADMIN | Inspeccion/Index | [InspeccionesController] Inicio pantalla gestion inspecciones. Usuario=USU_ADMIN, Rol=Administrador,Inspector,JefaturaTecnica,Direccion,CoordinacionLegal
2026-03-30 08:22:58.799 | INFO  | CID:613021597f22 | USR:USU_ADMIN | Inspeccion/Index | [InspeccionesController] Inspecciones recibidas=17
2026-03-30 08:23:06.635 | INFO  | CID:a9731cfca068 | USR:USU_ADMIN | [InspeccionesController] Inicio endpoint AJAX inspectores. Usuario=USU_ADMIN, Rol=Administrador,Direccion,JefaturaTecnica, TipoInspector=TODOS
2026-03-30 08:23:06.895 | INFO  | CID:a9731cfca068 | USR:USU_ADMIN | [InspeccionesController] Endpoint AJAX inspectores OK. Origen=Usuarios RT / Inspectores, Tipo=TODOS, Cantidad=1
2026-03-30 08:23:37.714 | INFO  | CID:e5895743b465 | USR:USU_ADMIN | Inspeccion/Index | [InspeccionesController] Inicio pantalla gestion inspecciones. Usuario=USU_ADMIN, Rol=Administrador,Inspector,JefaturaTecnica,Direccion,CoordinacionLegal
2026-03-30 08:23:37.718 | INFO  | CID:e5895743b465 | USR:USU_ADMIN | Inspeccion/Index | [InspeccionesController] Inspecciones recibidas=17
2026-03-30 08:23:40.321 | INFO  | CID:760deca46f85 | USR:USU_ADMIN | Inspeccion/Detalle | [GestionInspeccion] Inicio Detalle. InspeccionId=11, Usuario=USU_ADMIN, Rol=Administrador,Inspector,JefaturaTecnica,Direccion,CoordinacionLegal
2026-03-30 08:23:40.327 | INFO  | CID:760deca46f85 | USR:USU_ADMIN | Inspeccion/Detalle | [GestionInspeccion] InspeccionId=11, SolicitudId=169, EstadoActual=RESULTADO_NO_SATISFACTORIO, InspectorAsignado=1709565459
2026-03-30 08:23:40.327 | INFO  | CID:760deca46f85 | USR:USU_ADMIN | Inspeccion/Detalle | [GestionInspeccion] PuedeGestionar=True para detalle. InspeccionId=11
